LCZ,ID,Bâties (%),Surf. Imper. (%),Végétation tot. (%),Vég. haute (%),Vég. basse (%),Eau (%),SVF,hauteur_moy,iBati,iImper,iVegT,iSVF,ICU potentiel
2,46,48,45,7,5,2,0,0.590,17.3,4,4,5,5,4.5
2,74,51,40,9,6,2,0,0.588,17.7,5,3,5,5,4.5
2,7,35,54,12,9,3,0,0.593,22.2,3,5,4,5,4.3
2,72,47,43,10,7,3,0,0.601,21.8,4,4,4,4,4.0
2,56,51,38,11,8,3,0,0.627,18.5,5,3,4,4,4.0
2,40,32,54,14,10,4,0,0.619,17.6,3,5,4,4,4.0
2,59,45,41,14,11,4,0,0.640,12.6,4,4,4,4,4.0
2,71,45,40,15,9,5,0,0.641,17.4,4,4,4,4,4.0
2,61,34,51,15,10,5,0,0.633,20.3,3,5,4,4,4.0
2,3,41,43,17,10,6,0,0.655,16.8,4,4,4,4,4.0
2,73,40,47,13,9,4,0,0.687,17.3,3,4,4,4,3.8
2,20,37,46,17,12,5,0,0.617,19.4,3,4,4,4,3.8
2,78,37,45,17,13,4,0,0.645,10.2,3,4,4,4,3.8
2,64,39,41,21,14,7,0,0.648,14.5,3,4,3,4,3.5
2,65,41,37,22,17,5,0,0.639,10.4,4,3,3,4,3.5
2,62,33,43,24,18,6,0,0.633,15.2,3,4,3,4,3.5
4,44,25,60,15,9,6,0,0.785,18.1,2,5,4,3,3.5                          w
4,53,27,51,22,16,5,0,0.685,14.1,2,5,3,4,3.5
4,49,26,51,24,17,6,0,0.690,14.4,2,5,3,4,3.5
4,28,20,51,29,18,12,0,0.786,15.5,2,5,3,3,3.3
4,30,24,49,27,16,10,0,0.777,14.2,2,4,3,3,3.0
4,4,21,42,37,24,13,0,0.742,12.9,2,4,2,3,2.8
4,87,20,47,34,23,11,0,0.748,14.0,1,4,2,3,2.5
4,36,28,34,37,23,14,1,0.724,16.8,2,3,2,3,2.5
4,29,17,45,38,23,15,0,0.778,13.4,1,4,2,3,2.5
4,2,26,31,43,31,13,0,0.760,13.7,2,3,1,3,2.3
4,17,24,31,45,30,15,0,0.739,25.2,2,3,1,3,2.3
4,57,19,38,43,31,12,0,0.752,16.4,1,3,1,3,2.0
4,21,11,46,43,25,18,0,0.816,19.2,1,4,1,2,2.0
4,63,20,35,45,33,12,0,0.769,24.5,1,3,1,3,2.0
4,12,18,37,45,30,15,0,0.754,16.2,1,3,1,3,2.0
4,24,18,35,47,28,18,0,0.770,13.4,1,3,1,3,2.0
4,88,15,37,48,34,14,0,0.811,15.3,1,3,1,2,1.8
4,86,19,27,55,40,15,0,0.760,13.8,1,2,1,3,1.8
4,80,9,35,56,30,26,0,0.881,15.3,1,3,1,2,1.8
4,75,16,28,56,39,17,0,0.820,13.0,1,2,1,2,1.5
4,45,14,16,68,48,20,2,0.811,18.0,1,1,1,2,1.3
5,19,26,54,20,11,9,0,0.724,12.4,2,5,4,3,3.5
5,18,28,44,28,16,12,0,0.748,14.7,2,4,3,3,3.0
5,48,31,38,31,19,11,0,0.690,12.4,3,3,2,4,3.0
5,85,30,38,32,23,9,0,0.684,12.9,3,3,2,4,3.0
5,10,25,49,27,14,12,0,0.850,9.4,2,4,3,2,2.8
5,25,28,41,31,20,10,0,0.727,9.4,2,4,2,3,2.8
5,8,21,48,31,19,11,0,0.765,13.3,2,4,2,3,2.8
5,1,28,40,32,22,11,0,0.727,11.0,2,4,2,3,2.8
5,67,21,43,36,25,11,0,0.730,13.1,2,4,2,3,2.8
5,27,22,40,38,27,12,0,0.745,13.3,2,4,2,3,2.8
5,81,27,40,34,23,11,0,0.758,11.8,2,3,2,3,2.5
5,42,27,38,34,24,10,0,0.702,12.0,2,3,2,3,2.5
5,41,24,40,36,19,17,0,0.814,12.0,2,4,2,2,2.5
5,76,28,31,41,30,11,0,0.674,16.2,2,3,1,4,2.5
5,9,19,41,40,26,14,0,0.782,14.7,1,4,1,3,2.3
5,13,27,29,43,31,12,0,0.667,14.8,2,2,1,4,2.3
5,55,20,39,41,26,16,0,0.878,11.5,1,3,1,2,1.8
5,22,15,36,48,28,20,0,0.810,11.3,1,3,1,2,1.8
5,23,20,28,51,29,22,0,0.852,11.9,2,2,1,2,1.8
6,39,27,34,39,27,12,0,0.692,9.3,2,3,2,4,2.8
6,14,25,32,43,32,11,0,0.735,9.0,2,3,1,3,2.3
6,58,27,30,44,31,13,0,0.714,8.9,2,2,1,3,2.0
6,33,19,40,41,27,14,0,0.802,10.5,1,3,1,2,1.8
6,34,17,31,52,30,22,0,0.827,9.8,1,3,1,2,1.8
6,69,13,33,53,37,16,0,0.853,8.7,1,3,1,2,1.8
6,16,20,20,60,40,20,0,0.801,7.8,1,2,1,2,1.5
6,35,16,30,54,23,31,0,0.914,7.7,1,2,1,1,1.3
8,54,37,59,4,3,2,0,0.853,13.2,3,5,5,2,3.8
8,26,42,49,9,7,3,0,0.876,7.8,4,4,5,2,3.8
8,79,31,50,18,11,8,0,0.866,8.8,3,5,4,2,3.5
8,15,51,34,16,8,8,0,0.906,12.6,5,3,4,1,3.3
8,31,33,44,23,17,6,0,0.841,8.3,3,4,3,2,3.0
8,52,19,59,22,11,11,0,0.892,12.3,1,5,3,2,2.8
8,68,30,46,24,15,9,0,0.854,7.7,2,4,3,2,2.8
8,5,26,48,26,15,12,0,0.872,8.9,2,4,3,2,2.8
8,77,17,61,22,9,13,0,0.901,10.3,1,5,3,1,2.5
8,47,37,36,26,14,12,0,0.907,7.4,3,3,3,1,2.5
8,38,17,51,31,16,15,0,0.885,9.9,1,5,2,2,2.5
8,50,21,47,32,19,13,0,0.890,7.0,2,4,2,2,2.5
8,37,25,43,33,18,14,0,0.909,10.0,2,4,2,1,2.3
8,60,17,48,35,19,16,0,0.907,11.0,1,4,2,1,2.0
9,11,2,22,76,50,26,0,0.956,4.2,1,2,1,1,1.3
