Quartiers,Bâties,Surf_Imper,veg_haute,veg_basse,eau,Shape_Area
Moyenne, 23.335626, 37.554848, 22.868683, 12.050034, 4.190809   
88,15,37,34,14,0,110358.20481
87,20,47,23,11,0,202826.628342
86,19,27,40,15,0,133050.622316
85,30,38,23,9,0,148836.755555
81,27,40,23,11,0,10241.128012
80,9,35,30,26,0,358105.574814
79,31,50,11,8,0,404432.548318
78,37,45,13,4,0,131467.747563
77,17,61,9,13,0,203326.863537
76,28,31,30,11,0,78250.9042388
75,16,28,39,17,0,81779.3142625
74,51,40,6,2,0,455930.284745
73,40,47,9,4,0,137474.431618
72,47,43,7,3,0,69720.4886013
71,45,40,9,5,0,220864.580541
69,13,33,37,16,0,134960.914104
68,30,46,15,9,0,86859.4745605
67,21,43,25,11,0,163555.951467
65,41,37,17,5,0,87883.3911927
64,39,41,14,7,0,210177.261758
63,20,35,33,12,0,80829.4754024
62,33,43,18,6,0,61789.5216763
61,34,51,10,5,0,133133.384495
60,17,48,19,16,0,306409.924516
59,45,41,11,4,0,249377.832447
58,27,30,31,13,0,294342.335517
57,19,38,31,12,0,141070.260831
56,51,38,8,3,0,176976.522619
55,20,39,26,16,0,607135.873064
54,37,59,3,2,0,261287.782951
53,27,51,16,5,0,256933.497481
52,19,59,11,11,0,82686.7828211
50,21,47,19,13,0,430090.21407
49,26,51,17,6,0,134758.017436
48,31,38,19,11,0,295067.932299
47,37,36,14,12,0,100163.650058
46,48,45,5,2,0,454716.918274
45,14,16,48,20,2,733569.825641
44,25,60,9,6,0,165575.731324
42,27,38,24,10,0,117796.178453
41,24,40,19,17,0,239828.287859
40,32,54,10,4,0,108998.363828
39,27,34,27,12,0,222191.417618
38,17,51,16,15,0,153745.555325
37,25,43,18,14,0,248373.687927
36,28,34,23,14,1,280125.49169
35,16,30,23,31,0,262742.476194
34,17,31,30,22,0,179857.046944
33,19,40,27,14,0,171676.817326
31,33,44,17,6,0,110617.01508
30,24,49,16,10,0,488189.634629
29,17,45,23,15,0,274284.686173
28,20,51,18,12,0,169662.461303
27,22,40,27,12,0,244554.819924
26,42,49,7,3,0,262090.519397
25,28,41,20,10,0,176486.790247
24,18,35,28,18,0,101234.028803
23,20,28,29,22,0,86697.9716161
22,15,36,28,20,0,226408.978151
21,11,46,25,18,0,96294.3548447
20,37,46,12,5,0,154145.723179
19,26,54,11,9,0,208537.431238
18,28,44,16,12,0,124301.597264
17,24,31,30,15,0,247870.442409
16,20,20,40,20,0,304676.074551
15,51,34,8,8,0,84325.8504974
14,25,32,32,11,0,158697.365353
13,27,29,31,12,0,139661.671545
12,18,37,30,15,0,173910.081194
11,2,22,50,26,0,97716.5084122
10,25,49,14,12,0,295325.06243
9,19,41,26,14,0,633512.906758
8,21,48,19,11,0,275768.856743
7,35,54,9,3,0,219022.26926
5,26,48,15,12,0,86178.0140177
4,21,42,24,13,0,224764.918097
3,41,43,10,6,0,203567.762101
2,26,31,31,13,0,154095.270404
1,28,40,22,11,0,104251.004912
,,,,,,198433.24062
,,,,,,166953.062053
,,,,,,180831.44762
,,,,,,356942.152012
,,,,,,222095.274465
,,,,,,141446.17048
,,,,,,304627.624267
,,,,,,166950.160758
,,,,,,191886.379663
