Quartiers,Bâties,Surf_Imper,Vég,Vég_basse,Eau,Shape_Area
Moyenne,23.335626,37.554848,22.868683,12.050034,4.190809,
88,15.0,37.0,34.0,14.000000000000002,0.0,110358.20481
87,19.801980198019802,46.53465346534654,22.772277227722775,10.891089108910892,0.0,202826.628342
86,18.81188118811881,26.732673267326735,39.603960396039604,14.85148514851485,0.0,133050.622316
85,30.0,38.0,23.0,9.0,0.0,148836.755555
81,26.732673267326735,39.603960396039604,22.772277227722775,10.891089108910892,0.0,10241.128012
80,9.0,35.0,30.0,26.0,0.0,358105.574814
79,31.0,50.0,11.0,8.0,0.0,404432.548318
78,37.37373737373738,45.45454545454545,13.131313131313133,4.040404040404041,0.0,131467.747563
77,17.0,61.0,9.0,13.0,0.0,203326.863537
76,28.000000000000004,31.0,30.0,11.0,0.0,78250.9042388
75,16.0,28.000000000000004,39.0,17.0,0.0,81779.3142625
74,51.515151515151516,40.4040404040404,6.0606060606060606,2.0202020202020203,0.0,455930.284745
73,40.0,47.0,9.0,4.0,0.0,137474.431618
72,47.0,43.0,7.000000000000001,3.0,0.0,69720.4886013
71,45.45454545454545,40.4040404040404,9.090909090909092,5.05050505050505,0.0,220864.580541
69,13.131313131313133,33.33333333333333,37.37373737373738,16.161616161616163,0.0,134960.914104
68,30.0,46.0,15.0,9.0,0.0,86859.4745605
67,21.0,43.0,25.0,11.0,0.0,163555.951467
65,41.0,37.0,17.0,5.0,0.0,87883.3911927
64,38.613861386138616,40.5940594059406,13.861386138613863,6.9306930693069315,0.0,210177.261758
63,20.0,35.0,33.0,12.0,0.0,80829.4754024
62,33.0,43.0,18.0,6.0,0.0,61789.5216763
61,34.0,51.0,10.0,5.0,0.0,133133.384495
60,17.0,48.0,19.0,16.0,0.0,306409.924516
59,44.554455445544555,40.5940594059406,10.891089108910892,3.9603960396039604,0.0,249377.832447
58,26.732673267326735,29.7029702970297,30.693069306930692,12.871287128712872,0.0,294342.335517
57,19.0,38.0,31.0,12.0,0.0,141070.260831
56,51.0,38.0,8.0,3.0,0.0,176976.522619
55,19.801980198019802,38.613861386138616,25.742574257425744,15.841584158415841,0.0,607135.873064
54,36.633663366336634,58.415841584158414,2.9702970297029703,1.9801980198019802,0.0,261287.782951
53,27.27272727272727,51.515151515151516,16.161616161616163,5.05050505050505,0.0,256933.497481
52,19.0,59.0,11.0,11.0,0.0,82686.7828211
50,21.0,47.0,19.0,13.0,0.0,430090.21407
49,26.0,51.0,17.0,6.0,0.0,134758.017436
48,31.313131313131315,38.38383838383838,19.19191919191919,11.11111111111111,0.0,295067.932299
47,37.37373737373738,36.36363636363637,14.14141414141414,12.121212121212121,0.0,100163.650058
46,48.0,45.0,5.0,2.0,0.0,454716.918274
45,14.000000000000002,16.0,48.0,20.0,2.0,733569.825641
44,25.0,60.0,9.0,6.0,0.0,165575.731324
42,27.27272727272727,38.38383838383838,24.242424242424242,10.1010101010101,0.0,117796.178453
41,24.0,40.0,19.0,17.0,0.0,239828.287859
40,32.0,54.0,10.0,4.0,0.0,108998.363828
39,27.0,34.0,27.0,12.0,0.0,222191.417618
38,17.17171717171717,51.515151515151516,16.161616161616163,15.151515151515152,0.0,153745.555325
37,25.0,43.0,18.0,14.000000000000002,0.0,248373.687927
36,28.000000000000004,34.0,23.0,14.000000000000002,1.0,280125.49169
35,16.0,30.0,23.0,31.0,0.0,262742.476194
34,17.0,31.0,30.0,22.0,0.0,179857.046944
33,19.0,40.0,27.0,14.000000000000002,0.0,171676.817326
31,33.0,44.0,17.0,6.0,0.0,110617.01508
30,24.242424242424242,49.494949494949495,16.161616161616163,10.1010101010101,0.0,488189.634629
29,17.0,45.0,23.0,15.0,0.0,274284.686173
28,19.801980198019802,50.495049504950494,17.82178217821782,11.881188118811881,0.0,169662.461303
27,21.782178217821784,39.603960396039604,26.732673267326735,11.881188118811881,0.0,244554.819924
26,41.584158415841586,48.51485148514851,6.9306930693069315,2.9702970297029703,0.0,262090.519397
25,28.28282828282828,41.41414141414141,20.2020202020202,10.1010101010101,0.0,176486.790247
24,18.181818181818183,35.35353535353536,28.28282828282828,18.181818181818183,0.0,101234.028803
23,20.2020202020202,28.28282828282828,29.292929292929294,22.22222222222222,0.0,86697.9716161
22,15.151515151515152,36.36363636363637,28.28282828282828,20.2020202020202,0.0,226408.978151
21,11.0,46.0,25.0,18.0,0.0,96294.3548447
20,37.0,46.0,12.0,5.0,0.0,154145.723179
19,26.0,54.0,11.0,9.0,0.0,208537.431238
18,28.000000000000004,44.0,16.0,12.0,0.0,124301.597264
17,24.0,31.0,30.0,15.0,0.0,247870.442409
16,20.0,20.0,40.0,20.0,0.0,304676.074551
