value,date
20.96789,2020-08-26
25.45693,2020-08-27
21.80242,2020-08-28
19.95234,2020-08-29
24.72109,2020-08-30
18.60147,2020-09-01
22.40532,2020-09-02
24.31698,2020-09-03
20.50679,2020-09-04
26.89104,2020-09-05
19.90234,2020-09-06
21.70618,2020-09-07
25.47891,2020-09-08
23.70679,2020-09-09
18.80972,2020-09-10
24.50618,2020-09-11
22.80242,2020-09-12
19.90234,2020-09-13
26.40234,2020-09-14
20.70679,2020-09-15
24.90618,2020-09-16
22.58910,2020-09-17
20.20972,2020-09-18
24.70618,2020-09-19
21.45693,2020-09-20
26.60242,2020-09-21
19.89876,2020-09-22
25.70679,2020-09-23
23.60972,2020-09-24
20.72109,2020-09-25
26.40532,2020-09-26
19.50234,2020-09-27
21.80532,2020-09-28
24.40234,2020-09-29
23.80972,2020-09-30
18.90618,2020-10-01
24.20972,2020-10-02
22.60242,2020-10-03
20.80532,2020-10-04
26.70679,2020-10-05
19.70618,2020-10-06
21.80532,2020-10-07
25.60972,2020-10-08
23.80532,2020-10-09
19.10972,2020-10-10
24.50234,2020-10-11
22.90234,2020-10-12
20.60972,2020-10-13
26.60972,2020-10-14
20.50234,2020-10-15
24.80532,2020-10-16
