DATE_HEURE,QUARTIER,Maximum Temperature,Temperature,Minimum Temperature,temperature_reference,dd,ff,ff3,RR,Ecart temp�rature,date,hour
26/08/2020 00:00,GABRIEL PERI,26.06817,24.67032,24.63017,17.7,,0,,0.0,6.97032,2020-08-26,00:00
26/08/2020 01:00,GABRIEL PERI,24.71045,24.22785,23.93299,17.1,,0,,0.0,7.12785,2020-08-26,01:00
26/08/2020 02:00,GABRIEL PERI,24.19454,23.49261,23.39192,16.3,,0,,0.0,7.19261,2020-08-26,02:00
26/08/2020 03:00,GABRIEL PERI,23.72185,22.78558,22.73043,15.6,,0,,0.0,7.18558,2020-08-26,03:00
26/08/2020 04:00,GABRIEL PERI,22.78025,21.2101,21.18294,14.5,N,1,2.0,0.0,6.7101,2020-08-26,04:00
26/08/2020 05:00,GABRIEL PERI,21.49574,21.21916,20.85258,14.2,ONO,1,2.0,0.0,7.01916,2020-08-26,05:00
26/08/2020 06:00,GABRIEL PERI,21.46325,20.77069,20.73609,14.8,,0,,0.0,5.97069,2020-08-26,06:00
26/08/2020 07:00,GABRIEL PERI,20.73609,19.77955,19.77955,14.2,NNE,2,2.0,0.0,5.57955,2020-08-26,07:00
26/08/2020 08:00,GABRIEL PERI,20.26295,20.26295,19.65038,14.7,,0,,0.0,5.56295,2020-08-26,08:00
26/08/2020 09:00,GABRIEL PERI,20.47338,20.36732,20.05746,18.9,E,1,2.0,0.0,1.46732,2020-08-26,09:00
26/08/2020 10:00,GABRIEL PERI,21.99241,21.99241,20.20613,21.2,O,1,2.0,0.0,0.79241,2020-08-26,10:00
26/08/2020 11:00,GABRIEL PERI,24.35571,24.1735,21.94395,23.5,OSO,1,3.0,0.0,0.673500000000001,2020-08-26,11:00
26/08/2020 12:00,GABRIEL PERI,25.98539,25.88184,23.55614,25.8,ONO,1,2.0,0.0,0.0818399999999997,2020-08-26,12:00
26/08/2020 13:00,GABRIEL PERI,28.84206,28.52235,25.7782,28.2,OSO,1,3.0,0.0,0.32235,2020-08-26,13:00
26/08/2020 14:00,GABRIEL PERI,30.16358,30.16358,28.25119,29.5,O,1,3.0,0.0,0.66358,2020-08-26,14:00
26/08/2020 15:00,GABRIEL PERI,30.75484,30.52557,29.65128,30.8,OSO,1,4.0,0.0,-0.274430000000002,2020-08-26,15:00
26/08/2020 16:00,GABRIEL PERI,31.52457,30.91702,30.51218,32.0,SO,2,5.0,0.0,-1.08298,2020-08-26,16:00
26/08/2020 17:00,GABRIEL PERI,32.00919,31.68621,31.17926,32.2,SO,4,,0.0,-0.513790000000004,2020-08-26,17:00
26/08/2020 18:00,GABRIEL PERI,32.12064,31.23101,31.13419,31.5,OSO,3,,0.0,-0.268989999999999,2020-08-26,18:00
26/08/2020 19:00,GABRIEL PERI,31.30443,30.10486,30.07466,28.9,NNE,5,7.0,0.0,1.20486,2020-08-26,19:00
26/08/2020 20:00,GABRIEL PERI,30.0243,28.35632,28.35463,26.2,NNE,3,7.0,0.0,2.15632,2020-08-26,20:00
26/08/2020 21:00,GABRIEL PERI,28.37327,26.85694,26.80896,24.6,NE,3,6.0,0.0,2.25694,2020-08-26,21:00
26/08/2020 22:00,GABRIEL PERI,26.81582,26.0561,25.98712,21.8,,0,,0.0,4.2561,2020-08-26,22:00
26/08/2020 23:00,GABRIEL PERI,25.9923,25.15267,25.11792,20.0,,0,,0.0,5.15267,2020-08-26,23:00
27/08/2020 00:00,GABRIEL PERI,25.19784,24.87606,24.79939,18.4,,0,,0.0,6.47606,2020-08-27,00:00
27/08/2020 01:00,GABRIEL PERI,24.89347,23.29113,23.18847,16.9,,0,,0.0,6.39113,2020-08-27,01:00
27/08/2020 02:00,GABRIEL PERI,23.31236,22.06057,22.03905,16.4,,0,,0.0,5.66057,2020-08-27,02:00
27/08/2020 03:00,GABRIEL PERI,22.08926,21.5697,21.53724,15.9,,0,,0.0,5.6697,2020-08-27,03:00
27/08/2020 04:00,GABRIEL PERI,21.83077,20.64132,20.58295,14.8,,0,,0.0,5.84132,2020-08-27,04:00
