LCZ	SURFACE	Shape_Leng	Shape_Area	ID
A	73.3569825641	4530.2276725	733569.825641	51
4	63.3512906758	5092.2407092	633512.906758	17
8	60.7135873064	3167.83904346	607135.873064	60
8	48.8189634629	2893.16968449	488189.634629	38
8	45.5930284745	2715.52091374	455930.284745	77
8	45.4716918274	3268.10606704	454716.918274	52
2	43.009021407	2881.18998921	430090.21407	56
G	40.4432548318	16830.4519664	404432.548318	82
G	35.8105574814	13349.0951228	358105.574814	83
B	35.6942152012	2586.18629452	356942.152012	6
2	30.6409924516	2241.35712597	306409.924516	65
4	30.4676074551	2408.58396825	304676.074551	24
2	30.4627624267	2609.46815457	304627.624267	3
5	29.532506243	2510.95788964	295325.06243	18
8	29.5067932299	2350.50757206	295067.932299	54
4	29.4342335517	3560.88327323	294342.335517	63
B	28.012549169	3103.13183598	280125.49169	43
6	27.5768856743	2298.32695349	275768.856743	16
8	27.4284686173	2360.09189007	274284.686173	37
5	26.2742476194	2332.624844	262742.476194	42
6	26.2090519397	2670.16690507	262090.519397	34
2	26.1287782951	2092.60281069	261287.782951	59
6	25.6933497481	2218.76563049	256933.497481	58
2	24.9377832447	2175.64147649	249377.832447	64
4	24.8373687927	2893.9700469	248373.687927	44
5	24.7870442409	2759.9800017	247870.442409	25
6	24.4554819924	2303.98709327	244554.819924	35
5	23.9828287859	2140.09301987	239828.287859	48
4	22.6408978151	2197.80304483	226408.978151	30
5	22.4764918097	2228.39752194	224764.918097	13
2	22.2191417618	2217.95780832	222191.417618	46
8	22.2095274465	1986.49401859	222095.274465	5
2	22.0864580541	2185.27050714	220864.580541	74
8	21.902226926	2273.53821117	219022.26926	15
6	21.0177261758	2036.51561094	210177.261758	69
5	20.8537431238	1907.39711761	208537.431238	27
4	20.3567762101	2019.94207778	203567.762101	12
4	20.3326863537	2001.92814304	203326.863537	80
4	20.2826628342	2685.20136525	202826.628342	87
5	19.843324062	2021.28622088	198433.24062	9
5	19.1886379663	1843.81360141	191886.379663	1
2	18.083144762	1943.58950768	180831.44762	7
5	17.9857046944	1855.88820056	179857.046944	41
2	17.6976522619	1757.96623427	176976.522619	61
6	17.6486790247	1861.83362799	176486.790247	33
2	17.3910081194	2205.25644128	173910.081194	20
2	17.1676817326	1914.09654726	171676.817326	40
4	16.9662461303	1894.03290232	169662.461303	36
5	16.6953062053	2362.70446791	166953.062053	8
4	16.6950160758	1823.65075091	166950.160758	2
8	16.5575731324	1744.59693777	165575.731324	50
2	16.3555951467	1929.5828223	163555.951467	71
5	15.8697365353	1929.3120764	158697.365353	22
4	15.4145723179	1829.95163755	154145.723179	28
9	15.4095270404	2245.76745709	154095.270404	11
4	15.3745555325	1765.60890325	153745.555325	45
5	14.8836755555	1682.55688708	148836.755555	85
4	14.144617048	1545.71807827	141446.17048	4
2	14.1070260831	2050.2964866	141070.260831	62
4	13.9661671545	1562.29736447	139661.671545	21
5	13.7474431618	3093.32930589	137474.431618	76
2	13.4960914104	1743.06524746	134960.914104	73
5	13.4758017436	1700.09316387	134758.017436	55
E	13.3133384495	1523.90392003	133133.384495	66
4	13.3050622316	1635.5726045	133050.622316	86
5	13.1467747563	1610.02470663	131467.747563	81
8	12.4301597264	1589.65064724	124301.597264	26
4	11.7796178453	1553.03203685	117796.178453	49
6	11.061701508	1466.37014588	110617.01508	39
4	11.035820481	1532.98854785	110358.20481	88
8	10.8998363828	1448.11394102	108998.363828	47
5	10.4251004912	1276.39734013	104251.004912	10
B	10.1234028803	1515.09313669	101234.028803	32
4	10.0163650058	1777.45740506	100163.650058	53
5	9.77165084122	1593.31003247	97716.5084122	19
4	9.62943548447	1261.27411977	96294.3548447	29
B	8.78833911927	1560.47493746	87883.3911927	70
2	8.68594745605	1194.58143383	86859.4745605	72
8	8.66979716161	1536.1196373	86697.9716161	31
6	8.61780140177	1311.13598926	86178.0140177	14
5	8.43258504974	1338.56769929	84325.8504974	23
4	8.26867828211	1432.64755769	82686.7828211	57
2	8.17793142625	1343.82314862	81779.3142625	78
8	8.08294754024	1251.44298865	80829.4754024	68
8	7.82509042388	1124.96291226	78250.9042388	79
4	6.97204886013	1168.05200492	69720.4886013	75
5	6.17895216763	1093.4338587	61789.5216763	67
G	1.0241128012	457.404076695	10241.128012	84
