DEC_QUARTIERS_IRIS_99_ID,DEC_QUARTIERS_IRIS_99_NUM,DEC_QUARTIERS_IRIS_99_NOM,area
213,101,POLYGONE,1879450
249,310,RONDEAU - LIBERATION,1480901
214,102,JEAN MACE,855485
225,202,SAINT-LAURENT - LAVALETTE,685598
224,201,ESPLANADE,654181
240,301,DRAC - AMPERE,610971
264,414,BEAUVERT,576258
269,505,POTERNE,524681
255,405,CLEMENCEAU,479876
279,608,VIGNY - MUSSET,432571
232,209,ILE VERTE - SAINT-ROCH,348404
259,409,BAJATIERE OUEST,339356
256,406,REYNIES,338412
215,103,EUROPOLE,332495
262,412,ALLIES - CLOS D'OR,330969
282,611,GRAND PLACE ALPEXPO,293962
236,213,HEBERT - MUTUALITE,281092
235,212,PREFECTURE,270997
273,602,LA BRUYERE,259311
267,503,ABBAYE,258373
263,413,ALPINS,252188
216,104,DIDEROT,230255
260,410,BAJATIERE EST,226209
272,601,MALHERBE,213301
233,210,ILE VERTE - MARECHAL RANDON,207615
265,501,VALMY,202327
266,502,JEANNE D'ARC,198657
276,605,CONSTANTINE - GEANTS,192887
250,311,ABRY,192711
261,411,CAPUCHE,189962
238,215,CHAMPIONNET,189694
231,208,TROIS TOURS,187174
244,305,EAUX CLAIRES - CHAMPS ELYSEES,176797
246,307,EAUX CLAIRES - PAINLEVE,175589
247,308,HOUILLE BLANCHE,175014
277,606,HELBRONNER,173155
221,109,SAINT-BRUNO,169017
258,408,PERETTO,166951
270,506,PAUL COCAT,165883
268,504,JOUHAUX,162329
220,108,BERRIAT - AMPERE,161081
228,205,GRENETTE,151555
222,110,WALDEC ROUSSEAU,149504
274,603,LES TREMBLES,144010
218,106,COURS BERRIAT,143175
271,507,TEISSEIRE,139208
280,609,VILLAGE OLYMPIQUE NORD,136769
245,306,SIDI - BRAHIM,134889
223,111,LUSTUCRU,131920
239,216,HOCHE,130979
227,204,CREQUI - VICTOR HUGO,129192
278,607,BALADINS,123325
242,303,VALLIER,122823
248,309,MISTRAL,121002
237,214,AIGLE,113432
257,407,FERRIE - STALINGRAD,113364
234,211,GENISSIEU,109937
281,610,VILLAGE OLYMPIQUE SUD,109003
219,107,GABRIEL PERI,104343
251,401,FOCH OUEST,102310
217,105,GARE,100157
226,203,JEAN JAURES,99638
252,402,FOCH EST,87525
254,404,DIABLES BLEUS,85561
230,207,NOTRE DAME,82568
229,206,SAINT-ANDRE,81849
253,403,GUSTAVE RIVET,75936
241,302,CLINIQUE MUTUALISTE,74894
275,604,ARLEQUIN,61388
243,304,JAURES - VALLIER,61102
